cID,exclusion_reason,n_primary_studies_pet_outlier_removed,n_primary_studies_random_effect_outlier_removed,k_all_data,k_outlier_removed,n_outliers_removed,k_random_effect_outlier_removed,n_random_effect_outliers_removed,pet_peese_method_all_data,pet_peese_method_outlier_removed,pet_peese_estimate_all_data,pet_peese_estimate_outlier_removed,random_effect_estimate_all_data,random_effect_estimate_outlier_removed,random_effect_between_study_variance_all_data,random_effect_within_study_effect_size_variance_all_data,random_effect_between_study_variance_outlier_removed,random_effect_within_study_effect_size_variance_outlier_removed,random_effect_final_model_warnings
1928-11,NA,18,18,30,30,0,30,0,PEESE,PEESE,0.2485502600185773,0.2485502600185773,0.22842112682157237,0.22842112682157237,0.11889457251464502,0.054636129065131815,0.11889457251464502,0.054636129065131815,
1928-12,NA,10,10,14,14,0,14,0,PET,PET,-0.04284320824516729,-0.04284320824516729,-0.14740599629892157,-0.14740599629892157,0.027237382303839444,8.656427889627026e-4,0.027237382303839444,8.656427889627026e-4,
1928-13,NA,14,14,22,22,0,22,0,PEESE,PEESE,-0.8290994898752876,-0.8290994898752876,-0.9896616627928231,-0.9896616627928231,3.6465181651753416e-7,0.8142332488871868,3.6465181651753416e-7,0.8142332488871868,
1928-14,NA,15,15,26,25,1,25,1,PEESE,PEESE,-1.0596579087422309,-0.9010094933142252,-1.099321406250267,-0.9443347902001548,0.08194849240890632,0.8481997653645049,1.1531304143427926e-7,0.5563665936717708,
1928-15,NA,6,6,11,11,0,11,0,PET,PET,0.053385315396103694,0.053385315396103694,-1.3498107030421136,-1.3498107030421136,0.6654526193003039,0.1316715511493383,0.6654526193003039,0.1316715511493383,
1928-2,NA,8,8,15,15,0,15,0,PET,PET,-0.2740633082112471,-0.2740633082112471,-0.21878440499060067,-0.21878440499060067,1.2347769421719902e-8,0.1717685344344684,1.2347769421719902e-8,0.1717685344344684,
1928-3,NA,13,13,37,37,0,37,0,PEESE,PEESE,-0.4359583188601456,-0.4359583188601456,-0.39252955612933454,-0.39252955612933454,0.1508547115663713,0.4752364265223217,0.1508547115663713,0.4752364265223217,
1928-4,NA,13,13,21,21,0,21,0,PEESE,PEESE,0.3753666371488387,0.3753666371488387,0.36343982631806265,0.36343982631806265,0.15611809164900164,0.003891438935254643,0.15611809164900164,0.003891438935254643,
1928-5,NA,9,9,17,17,0,17,0,PEESE,PEESE,0.23832694859493517,0.23832694859493517,0.22628230441161182,0.22628230441161182,0.019659176499514174,0.020346937931614132,0.019659176499514174,0.020346937931614132,
1928-7,NA,14,14,23,23,0,23,0,PET,PET,0.041909063438129904,0.041909063438129904,-0.02140359901374361,-0.02140359901374361,0.10309632137829863,0.028427322046447462,0.10309632137829863,0.028427322046447462,
1928-8,NA,6,6,8,8,0,8,0,PET,PET,-0.003185645967345889,-0.003185645967345889,-0.028337394940930346,-0.028337394940930346,0.004836798010120789,1.7593417056871758e-10,0.004836798010120789,1.7593417056871758e-10,
1928-9,NA,6,6,12,12,0,12,0,PET,PET,-0.2473711198349822,-0.2473711198349822,-0.42952708560742725,-0.42952708560742725,0.18867753150841363,0.032975038077202916,0.18867753150841363,0.032975038077202916,
1933-1,NA,12,12,26,26,0,26,0,PEESE,PEESE,0.04999117662564463,0.04999117662564463,-0.058145375236136644,-0.058145375236136644,0.18349897229004164,0.03164509325763521,0.18349897229004164,0.03164509325763521,
1934-1,NA,43,42,195,194,1,192,3,PEESE,PEESE,0.13438244693437076,0.1271622999230637,0.07112479163923294,0.08514068468920685,0.07939799431270249,0.04475685424790931,0.052282600850683515,0.04248023849985132,
1934-2,NA,15,15,69,68,1,68,1,PET,PET,0.13322714640132105,0.12499234242295348,0.095053437698818,0.10178753301183395,0.02799596004970135,0.03639043892107011,0.02645041132560555,0.030115825554872768,
1973-1,NA,38,38,38,38,0,38,0,PEESE,PEESE,1.1141896142671184,1.1141896142671184,1.153797341416821,1.153797341416821,0.06405857778353594,0,0.06405857778353594,0,
1973-2,NA,41,40,41,41,0,40,1,PEESE,PEESE,0.9790625888803689,0.9790625888803689,1.0618034214446601,1.0465223043619196,0.042660797987042295,0,0.034545271761840746,0,
1974-1,NA,9,9,9,9,0,9,0,PET,PET,0.13215846163789852,0.13215846163789852,0.13493618837003202,0.13493618837003202,0.004216648364402378,0,0.004216648364402378,0,
1974-2,NA,7,7,7,7,0,7,0,PET,PET,0.13419591073453863,0.13419591073453863,0.13569068810923954,0.13569068810923954,0.02352786176797173,0,0.02352786176797173,0,
2001-1,NA,10,10,66,65,1,65,1,PEESE,PEESE,0.11953233206548872,0.10452328219642774,0.1145952872386759,0.10074963111900656,1.1089705312993162e-8,0.016744813655577513,3.53730888186454e-8,0.011229651996916928,Ratio of largest to smallest sampling variance extremely large. May not be able to obtain stable results.
2001-2,NA,15,15,25,25,0,25,0,PEESE,PEESE,-1.352176459190553,-1.352176459190553,-1.6962101234957994,-1.6962101234957994,0.18461265356460774,3.09141231037642e-7,0.18461265356460774,3.09141231037642e-7,
2002-1,NA,6,6,6,6,0,6,0,PET,PET,0.2250562928857356,0.2250562928857356,0.25801903190556974,0.25801903190556974,12.339813979670664,0,12.339813979670664,0,
2002-3,NA,6,6,6,6,0,6,0,PEESE,PEESE,-0.7819216551615152,-0.7819216551615152,3.7048293977615994,3.7048293977615994,56.30023496277102,0,56.30023496277102,0,
2002-5,NA,6,6,6,6,0,6,0,PET,PET,-0.6808029975507504,-0.6808029975507504,3.8809487755185863,3.8809487755185863,2.002834747744877,0,2.002834747744877,0,
2051-1,NA,7,7,7,7,0,7,0,PET,PET,0.9629429644164369,0.9629429644164369,1.199041182317281,1.199041182317281,0.2166600008530308,0,0.2166600008530308,0,
2051-2,NA,6,6,7,7,0,7,0,PET,PET,0.13894379872085835,0.13894379872085835,-0.6323117501485741,-0.6323117501485741,4.577507193697012e-8,0.25871043235978264,4.577507193697012e-8,0.25871043235978264,
